Allocation Subcategory,City,College,Gift Allocation,Gift Amount,Gift Date,Major,Prospect ID,State
College of Veterinary Medicine,Cincinnati,College of Natural Science,Scholarship,4821,2010-08-14,Plant Biology,1039,OH
College of Natural Science,Cincinnati,College of Natural Science,Scholarship,6997,2013-02-28,Plant Biology,1039,OH
College of Natural Science,Oklahoma City,College of Social Science,Scholarship,8906,2010-03-11,Political Science-Prelaw,1040,OK
Campus Recreation,Oklahoma City,College of Social Science,Campus Resource,7944,2013-11-11,Political Science-Prelaw,1040,OK
College of Nursing,Durham,College of Agriculture and Natural Resources,Scholarship,267,2010-05-13,Construction Management,1041,NC
Faculty Chair Endowments,Durham,College of Agriculture and Natural Resources,Endowment,2245,2013-05-21,Construction Management,1041,NC
Campus Museums,Denver,College of Arts and Sciences,Campus Resource,10528.5,2010-09-10,Japanese,1042,CO
College of Business,Denver,College of Arts and Sciences,Scholarship,250.5,2013-11-23,Japanese,1042,CO
University Annual Fund,Los Angeles,College of Social Science,Endowment,2524,2010-07-29,Geographic Information Science,1043,CA
Campus Recreation,Los Angeles,College of Social Science,Campus Resource,1797,2013-06-19,Geographic Information Science,1043,CA
Alumni Association,Cincinnati,College of Social Science,Campus Resource,6377,2010-07-18,Public Policy,1044,OH
Diversity Fund,Cincinnati,College of Social Science,Endowment,2402,2013-11-29,Public Policy,1044,OH
University Annual Fund,Cleveland,College of Communication Arts and Sciences,Endowment,6384,2010-02-18,Journalism,1045,OH
College of Business,Phoenix,College of Engineering,Scholarship,7903,2010-07-02,Electrical Engineering,1046,AZ
College of Natural Science,Detroit,College of Agriculture and Natural Resources,Scholarship,7597,2010-06-19,Packaging,1047,MI
Athletics,Indianapolis,College of Agriculture and Natural Resources,Campus Resource,8987,2010-10-08,Environmental Studies and Agriscience,1048,IN
In-State Scholarship Fund,Tallahassee,College of Arts and Sciences,Scholarship,8642,2010-02-25,Chinese,1049,FL
College of Natural Science,Raleigh,College of Social Science,Scholarship,584,2010-08-26,Public Policy,1050,NC
Faculty Chair Endowments,Grand Rapids,College of Political Science,Endowment,5057,2010-12-29,College of Political Science,1051,MI
Parents Association,Albuquerque,College of Engineering,Campus Resource,3057,2010-10-23,Engineering-No Major,1052,NM
Honors Program,Cincinnati,College of Social Science,Campus Resource,7196,2010-08-17,History,1053,OH
Athletics,North Las Vegas,College of Social Science,Campus Resource,8166,2010-09-04,Interdisciplinary Studies in Social Science - Social Science Education,1054,NV
Trustees Fund,Lincoln,College of Social Science,Endowment,5840,2010-08-20,Sociology,1055,NE
University Annual Fund,Lincoln,College of Social Science,Endowment,7931,2013-05-03,Sociology,1055,NE
University Libraries,Des Moines,College of Engineering,Campus Resource,6856,2010-09-21,Engineering-No Major,1056,IA
Campus Recreation,Des Moines,College of Engineering,Campus Resource,6400,2013-03-16,Engineering-No Major,1056,IA
College of Social Science,Alexandria,College of Natural Science,Scholarship,3281,2010-10-06,Computational Mathematics,1057,VA
Athletics,Alexandria,College of Natural Science,Campus Resource,9332,2013-02-22,Computational Mathematics,1057,VA
College of Agriculture and Natural Resources,Cincinnati,College of Natural Science,Scholarship,6195,2010-06-13,Predental,1058,OH
College of Natural Science,Cincinnati,College of Natural Science,Scholarship,8426,2013-10-06,Predental,1058,OH
College of Nursing,Albuquerque,College of Communication Arts and Sciences,Scholarship,3870,2010-08-28,Advertising,1059,NM
College of Social Science,Albuquerque,College of Communication Arts and Sciences,Scholarship,6248,2013-05-04,Advertising,1059,NM
College of Social Science,Spokane,College of Communication Arts and Sciences,Scholarship,6980,2010-01-23,Media and Information,1060,WA
University Annual Fund,Boston,College of Business,Endowment,7047,2010-04-28,Supply Chain Management,1061,MA
Trustees Fund,Hartford,College of Arts and Sciences,Endowment,3818,2010-08-15,Japanese,1062,CT
College of Communication Arts and Sciences,Houston,College of Agriculture and Natural Resources,Scholarship,9585,2010-02-06,Agriculture and Natural Resources-No Preference,1063,TX
College of Communication Arts and Sciences,San Diego,College of Arts and Sciences,Scholarship,5874,2010-08-22,Russian,1064,CA
Parents Association,Kansas City,College of Music,Campus Resource,3045,2010-03-02,Composition,1065,MO
College of Arts and Sciences,Chicago,College of Natural Science,Scholarship,2429,2010-03-22,Genomics & Molecular Genetics,1066,IL
College of Arts and Sciences,Durham,College of Business,Scholarship,3784,2010-10-18,Supply Chain Management,1067,NC
University Annual Fund,San Diego,College of Engineering,Endowment,7928,2010-06-21,Biosystems Engineering,1068,CA
Trustees Fund,Omaha,College of Social Science,Endowment,572,2010-05-25,Interdisciplinary Studies in Social Science - Social Science Education,1069,NE
College of Natural Science,Rochester,College of Social Science,Scholarship,5724,2010-07-19,Economics,1070,NY
Trustees Fund,Washington,College of Agriculture and Natural Resources,Endowment,3820,2010-09-27,Natural Resource Recreation and Tourism,1071,DC
University Annual Fund,New York,College of Social Science,Endowment,4123,2010-11-11,Political Science,1072,NY
College of Business,Hartford,College of Political Science,Scholarship,8519,2010-06-02,Comparative Cultures and Politics,1073,CT
Trustees Fund,Tulsa,College of Business,Endowment,8015,2010-11-24,Supply Chain Management,1074,OK
Campus Recreation,Memphis,College of Engineering,Campus Resource,3379,2010-02-07,Applied Engineering Sciences,1075,TN
Campus Museums,Los Angeles,College of Music,Campus Resource,1128,2010-01-01,Music,1076,CA
College of Natural Science,Salt Lake City,College of Social Science,Scholarship,2727,2010-10-06,Criminal Justice,1077,UT
College of Natural Science,Denver,College of Agriculture and Natural Resources,Scholarship,13698,2010-09-13,Natural Resource Recreation and Tourism,1078,CO
Diversity Fund,Hartford,College of Agriculture and Natural Resources,Endowment,7129,2010-01-06,Agriculture and Natural Resources-No Preference,1079,CT
Trustees Fund,Denver,College of Arts and Sciences,Endowment,225,2010-09-08,Russian,1080,CO
College of Social Science,Overland Park,College of Agriculture and Natural Resources,Scholarship,8176,2010-01-19,Animal Science,1081,KS
College of Arts and Sciences,Hartford,College of Engineering,Scholarship,4034,2010-10-28,Computer Science,1082,CT
University Annual Fund,Kansas City,College of Engineering,Endowment,2556,2010-08-24,Computer Science,1083,MO
University Annual Fund,Charlotte,College of Business,Endowment,3641,2010-10-02,Hospitality Business,1084,NC
College of Natural Science,Charlotte,College of Business,Scholarship,5240,2013-05-26,Hospitality Business,1084,NC
College of Natural Science,Birmingham,College of Natural Science,Scholarship,8571,2010-05-08,Environmental Biology/Microbiology,1085,AL
College of Social Science,Birmingham,College of Natural Science,Scholarship,7746,2013-04-05,Environmental Biology/Microbiology,1085,AL
Faculty Chair Endowments,Denver,College of Engineering,Endowment,5397,2010-01-08,Materials Science and Engineering,1086,CO
College of Arts and Sciences,Denver,College of Engineering,Scholarship,8241,2013-03-13,Materials Science and Engineering,1086,CO
Diversity Fund,Houston,College of Natural Science,Endowment,3292,2010-05-25,Neuroscience,1087,TX
Diversity Fund,Houston,College of Natural Science,Endowment,3336,2013-09-10,Neuroscience,1087,TX
College of Engineering,Atlanta,College of Business,Scholarship,4251,2010-12-18,Accounting,1088,GA
Trustees Fund,Atlanta,College of Business,Endowment,6361,2013-05-02,Accounting,1088,GA
University Annual Fund,Omaha,College of Agriculture and Natural Resources,Endowment,2051,2010-11-19,Natural Resource Recreation and Tourism,1089,NE
Diversity Fund,Omaha,College of Agriculture and Natural Resources,Endowment,8712,2013-07-01,Natural Resource Recreation and Tourism,1089,NE
University Annual Fund,Scottsdale,College of Social Science,Endowment,9728,2010-11-16,World Politics,1090,AZ
Faculty Chair Endowments,Scottsdale,College of Social Science,Endowment,8939,2013-09-06,World Politics,1090,AZ
College of Business,San Diego,College of Engineering,Scholarship,1093,2010-02-05,Applied Engineering Sciences,1091,CA
University Annual Fund,San Diego,College of Engineering,Endowment,554,2013-12-17,Applied Engineering Sciences,1091,CA
Alumni Association,Cincinnati,College of Natural Science,Campus Resource,91,2010-01-07,Earth Science Interdepartmental,1092,OH
College of Music,Cincinnati,College of Natural Science,Scholarship,8592,2013-02-20,Earth Science Interdepartmental,1092,OH
College of Agriculture and Natural Resources,Indianapolis,College of Social Science,Scholarship,3912,2010-03-10,Interdisciplinary Studies in Social Science,1093,IN
Athletics,Indianapolis,College of Social Science,Campus Resource,1778,2013-05-08,Interdisciplinary Studies in Social Science,1093,IN
Campus Museums,Denver,College of Education,Campus Resource,4717.5,2010-07-02,Education,1094,CO
College of Nursing,Denver,College of Education,Scholarship,13339.5,2013-06-07,Education,1094,CO
Campus Museums,Denver,College of Natural Science,Campus Resource,11287.5,2010-03-19,Human Biology,1095,CO
College of Nursing,Denver,College of Natural Science,Scholarship,7782,2013-08-22,Human Biology,1095,CO
University Annual Fund,Denver,College of Natural Science,Endowment,5281.5,2010-05-02,Environmental Biology/Zoology,1096,CO
College of Nursing,Denver,College of Natural Science,Scholarship,7114.5,2013-06-07,Environmental Biology/Zoology,1096,CO
University Annual Fund,San Francisco,College of Arts and Sciences,Endowment,5239,2010-05-24,Art History and Visual Culture,1097,CA
University Libraries,San Francisco,College of Arts and Sciences,Campus Resource,2779,2013-06-19,Art History and Visual Culture,1097,CA
Trustees Fund,Austin,College of Natural Science,Endowment,5779,2010-10-25,Biochemistry and Molecular Biology,1098,TX
Campus Recreation,Austin,College of Natural Science,Campus Resource,24261,2011-09-28,Biochemistry and Molecular Biology,1098,TX
College of Agriculture and Natural Resources,Austin,College of Natural Science,Scholarship,22141,2013-09-18,Biochemistry and Molecular Biology,1098,TX
Trustees Fund,Austin,College of Natural Science,Endowment,29033,2014-07-08,Biochemistry and Molecular Biology,1098,TX
University Libraries,Phoenix,College of Nursing,Campus Resource,1117,2010-06-04,Nursing,1099,AZ
College of Natural Science,Phoenix,College of Nursing,Scholarship,1620,2013-10-07,Nursing,1099,AZ
University Annual Fund,Austin,College of Natural Science,Endowment,7234,2010-07-05,Environmental Biology/Plant Biol,1100,TX
Parents Association,Austin,College of Natural Science,Campus Resource,9783,2013-08-08,Environmental Biology/Plant Biol,1100,TX
University Annual Fund,Kansas City,College of Social Science,Endowment,368,2010-12-08,Anthropology,1101,KS
Faculty Chair Endowments,Kansas City,College of Social Science,Endowment,3804,2013-06-27,Anthropology,1101,KS
College of Social Science,Houston,College of Business,Scholarship,1758,2010-10-16,Marketing,1102,TX
Faculty Chair Endowments,Houston,College of Business,Endowment,4948,2013-10-20,Marketing,1102,TX
Faculty Chair Endowments,Denver,College of Arts and Sciences,Endowment,2307,2010-04-29,Humanities-Prelaw,1103,CO
University Annual Fund,Denver,College of Arts and Sciences,Endowment,7560,2013-08-11,Humanities-Prelaw,1103,CO
In-State Scholarship Fund,Overland Park,College of Natural Science,Scholarship,1434,2010-02-19,Biomedical Laboratory Science,1104,KS
Faculty Chair Endowments,Overland Park,College of Natural Science,Endowment,9725,2013-05-14,Biomedical Laboratory Science,1104,KS
Campus Museums,Alexandria,College of Engineering,Campus Resource,6032,2010-09-23,Applied Engineering Sciences,1105,VA
Faculty Chair Endowments,Alexandria,College of Engineering,Endowment,5550,2013-04-17,Applied Engineering Sciences,1105,VA
University Libraries,Houston,College of Political Science,Campus Resource,1437,2010-03-26,Comparative Cultures and Politics,1106,TX
College of Engineering,Houston,College of Political Science,Scholarship,464,2013-01-08,Comparative Cultures and Politics,1106,TX
College of Engineering,Richmond,College of Social Science,Scholarship,8916,2010-12-14,Geography,1107,VA
College of Agriculture and Natural Resources,Richmond,College of Social Science,Scholarship,1198,2013-10-06,Geography,1107,VA
In-State Scholarship Fund,San Diego,College of Natural Science,Scholarship,9344,2010-03-14,Physical Science Interdepartmental,1108,CA
University Annual Fund,San Diego,College of Natural Science,Endowment,4018,2013-09-08,Physical Science Interdepartmental,1108,CA
College of Natural Science,Houston,College of Arts and Sciences,Scholarship,892,2010-08-10,Humanities-Prelaw,1109,TX
University Libraries,Little Rock,College of Education,Campus Resource,1858,2010-04-02,Special Education-Learning Disabilities,1110,AR
University Libraries,Providence,College of Communication Arts and Sciences,Campus Resource,4090,2010-05-26,Journalism,1111,RI
College of Natural Science,Cedar Rapids,College of Natural Science,Scholarship,5165,2010-09-24,Statistics,1112,IA
College of Natural Science,Houston,College of Agriculture and Natural Resources,Scholarship,5981,2010-07-14,Fisheries and Wildlife,1113,TX
Diversity Fund,Lansing,College of Arts and Sciences,Endowment,4356,2010-06-05,English,1114,MI
Athletics,Denver,College of Arts and Sciences,Campus Resource,6054,2010-08-19,Japanese,1115,CO
Minority Scholarship Fund,Salt Lake City,College of Natural Science,Scholarship,8925,2010-08-18,Biochemistry and Molecular Biology/Biotechnology,1116,UT
In-State Scholarship Fund,Phoenix,College of Agriculture and Natural Resources,Scholarship,4328,2010-01-03,Horticulture,1117,AZ
Trustees Fund,Memphis,College of Social Science,Endowment,5845,2010-07-15,Human Development and Family Studies,1118,TN
Alumni Association,Cedar Rapids,College of Social Science,Campus Resource,6229,2010-03-10,History Education,1119,IA
University Annual Fund,Richmond,College of Agriculture and Natural Resources,Endowment,6431,2010-06-18,Packaging,1120,VA
University Annual Fund,Miami,College of Natural Science,Endowment,1700,2010-11-25,Microbiology,1121,FL
College of Natural Science,San Francisco,College of Arts and Sciences,Scholarship,4510,2010-09-02,Interdisciplinary Humanities,1122,CA
Faculty Chair Endowments,Hartford,College of Arts and Sciences,Endowment,6074,2010-11-25,Chinese,1123,CT
Faculty Chair Endowments,Los Angeles,College of Engineering,Endowment,9725,2010-02-25,Applied Engineering Sciences,1124,CA
University Libraries,Orlando,College of Business,Campus Resource,41,2010-12-03,Accounting,1125,FL
Trustees Fund,Dallas,College of Natural Science,Endowment,3349,2010-11-04,Chemistry,1126,TX
University Libraries,Los Angeles,College of Natural Science,Campus Resource,2879,2010-03-06,Biochemistry and Molecular Biology/Biotechnology,1127,CA
Parents Association,Chicago,College of Business,Campus Resource,4065,2010-02-03,Accounting,1128,IL
Campus Recreation,Overland Park,College of Political Science,Campus Resource,714,2010-04-13,Social Relations and Policy,1129,KS
College of Business,Dallas,College of Business,Scholarship,6051,2010-02-21,Human Resource Management,1130,TX
College of Business,San Francisco,College of Engineering,Scholarship,2119,2010-04-14,Environmental Engineering,1131,CA
In-State Scholarship Fund,Alexandria,College of Arts and Sciences,Scholarship,1563,2010-05-16,Chinese,1132,VA
Diversity Fund,Baton Rouge,College of Arts and Sciences,Endowment,6182,2010-09-21,Arabic,1133,LA
College of Arts and Sciences,Providence,College of Social Science,Scholarship,9292,2010-12-25,Political Science-Prelaw,1134,RI
College of Arts and Sciences,St. Louis,College of Natural Science,Scholarship,4976,2010-06-05,Human Biology,1135,MO
University Annual Fund,St. Louis,College of Natural Science,Endowment,9717,2013-10-12,Human Biology,1135,MO
Diversity Fund,New York,College of Agriculture and Natural Resources,Endowment,9079,2010-11-13,Natural Resource Recreation and Tourism,1136,NY
Athletics,New York,College of Agriculture and Natural Resources,Campus Resource,4240,2013-06-21,Natural Resource Recreation and Tourism,1136,NY
College of Nursing,New York,College of Business,Scholarship,6155,2010-01-13,Hospitality Business,1137,NY
College of Nursing,New York,College of Business,Scholarship,600,2013-05-01,Hospitality Business,1137,NY
College of Nursing,Denver,College of Music,Scholarship,5217,2010-12-17,Composition,1138,CO
College of Engineering,Denver,College of Music,Scholarship,3621,2013-08-01,Composition,1138,CO
University Annual Fund,Hartford,College of Social Science,Endowment,243,2010-05-26,Criminal Justice,1139,CT
Campus Museums,Hartford,College of Social Science,Campus Resource,7188,2013-12-27,Criminal Justice,1139,CT
Campus Museums,Lincoln,College of Agriculture and Natural Resources,Campus Resource,8941,2010-10-03,Entomology,1140,NE
University Annual Fund,Lincoln,College of Agriculture and Natural Resources,Endowment,7547,2013-01-19,Entomology,1140,NE
Faculty Chair Endowments,New York,College of Political Science,Endowment,7641,2010-03-13,Social Relations and Policy,1141,NY
Athletics,New York,College of Political Science,Campus Resource,4894,2013-04-03,Social Relations and Policy,1141,NY
College of Social Science,Dallas,College of Natural Science,Scholarship,383,2010-06-22,Biochemistry and Molecular Biology,1142,TX
University Annual Fund,Dallas,College of Natural Science,Endowment,2646,2013-05-12,Biochemistry and Molecular Biology,1142,TX
College of Natural Science,Philadelphia,College of Veterinary Medicine,Scholarship,8816,2010-07-03,Preveterinary,1143,PA
College of Natural Science,Philadelphia,College of Veterinary Medicine,Scholarship,2468,2013-10-09,Preveterinary,1143,PA
College of Social Science,Philadelphia,College of Natural Science,Scholarship,5453,2010-08-06,Human Biology,1144,PA
Faculty Chair Endowments,Philadelphia,College of Natural Science,Endowment,6148,2013-10-18,Human Biology,1144,PA
Faculty Chair Endowments,Little Rock,College of Nursing,Endowment,7610,2010-09-15,Summer Research Program,1145,AR
Trustees Fund,Little Rock,College of Nursing,Endowment,7315,2013-12-28,Summer Research Program,1145,AR
Alumni Association,Henderson,College of Music,Campus Resource,995,2010-10-06,Composition,1146,NV
College of Arts and Sciences,Henderson,College of Music,Scholarship,4217,2013-10-23,Composition,1146,NV
University Libraries,Los Angeles,College of Social Science,Campus Resource,6997,2010-10-28,Criminal Justice,1147,CA
Faculty Chair Endowments,Los Angeles,College of Social Science,Endowment,4745,2013-12-01,Criminal Justice,1147,CA
University Annual Fund,New York,College of Music,Endowment,7944,2010-01-07,Composition,1148,NY
Trustees Fund,New York,College of Music,Endowment,1001,2013-01-31,Composition,1148,NY
Athletics,Jacksonville,College of Natural Science,Campus Resource,2245,2010-10-02,Environmental Geosciences,1149,FL
Diversity Fund,Jacksonville,College of Natural Science,Endowment,8078,2013-07-04,Environmental Geosciences,1149,FL
University Libraries,Phoenix,College of Natural Science,Campus Resource,167,2010-11-18,Preoptometry,1150,AZ
Honors Program,Phoenix,College of Natural Science,Campus Resource,3496,2013-07-01,Preoptometry,1150,AZ
College of Business,Denver,College of Natural Science,Scholarship,2695.5,2010-12-22,Neuroscience,1151,CO
Minority Scholarship Fund,Denver,College of Natural Science,Scholarship,13440,2013-05-13,Neuroscience,1151,CO
Faculty Chair Endowments,St. Louis,College of Arts and Sciences,Endowment,2402,2010-09-25,Humanities-Prelaw,1152,MO
College of Agriculture and Natural Resources,St. Louis,College of Arts and Sciences,Scholarship,1858,2013-12-31,Humanities-Prelaw,1152,MO
College of Natural Science,Denver,College of Social Science,Scholarship,11896.5,2010-08-27,Anthropology,1153,CO
Minority Scholarship Fund,Denver,College of Social Science,Scholarship,10828.5,2013-09-11,Anthropology,1153,CO
College of Arts and Sciences,Las Vegas,College of Engineering,Scholarship,6400,2010-03-15,Computer Science,1154,NV
University Annual Fund,Las Vegas,College of Engineering,Endowment,9640,2013-10-02,Computer Science,1154,NV
College of Natural Science,Chicago,College of Education,Scholarship,9332,2010-04-15,Kinesiology,1155,IL
College of Political Science,Chicago,College of Education,Scholarship,9532,2013-01-08,Kinesiology,1155,IL
University Annual Fund,Madison,College of Natural Science,Endowment,8426,2010-05-11,Environmental Biology/Plant Biol,1156,WI
University Annual Fund,Madison,College of Natural Science,Endowment,5109,2013-12-30,Environmental Biology/Plant Biol,1156,WI
Trustees Fund,Grand Rapids,College of Communication Arts and Sciences,Endowment,6248,2010-10-12,Media and Information,1157,MI
Alumni Association,Grand Rapids,College of Communication Arts and Sciences,Campus Resource,7242,2013-07-15,Media and Information,1157,MI
College of Agriculture and Natural Resources,Denver,College of Agriculture and Natural Resources,Scholarship,7860,2010-05-10,Landscape Architecture,1158,CO
College of Agriculture and Natural Resources,Denver,College of Agriculture and Natural Resources,Scholarship,2796,2013-10-11,Landscape Architecture,1158,CO
University Libraries,Boston,College of Music,Campus Resource,6246,2010-05-10,Composition,1159,MA
College of Music,Mobile,College of Business,Scholarship,6345,2010-07-17,Human Resource Management,1160,AL
College of Music,Kansas City,College of Business,Scholarship,8298,2010-10-27,Finance,1161,MO
College of Agriculture and Natural Resources,Detroit,College of Agriculture and Natural Resources,Scholarship,3403,2010-03-14,Horticulture,1162,MI
Parents Association,Denver,College of Engineering,Campus Resource,5797.5,2010-12-12,Mechanical Engineering,1163,CO
College of Agriculture and Natural Resources,Chicago,College of Arts and Sciences,Scholarship,960,2010-12-04,Interdisciplinary Humanities,1164,IL
Diversity Fund,Scottsdale,College of Education,Endowment,2679,2010-05-22,Education,1165,AZ
Trustees Fund,Hartford,College of Arts and Sciences,Endowment,7746,2010-02-23,Theatre,1166,CT
College of Music,Hartford,College of Arts and Sciences,Scholarship,999,2013-01-24,Theatre,1166,CT
College of Arts and Sciences,Memphis,College of Natural Science,Scholarship,5494,2010-01-03,Statistics,1167,TN
College of Arts and Sciences,Memphis,College of Natural Science,Scholarship,9280,2013-08-14,Statistics,1167,TN
College of Agriculture and Natural Resources,Chicago,College of Arts and Sciences,Scholarship,3336,2010-07-16,Philosophy,1168,IL
Athletics,Chicago,College of Arts and Sciences,Campus Resource,8898,2013-12-04,Philosophy,1168,IL
Campus Museums,Lansing,College of Business,Campus Resource,6361,2010-02-23,Accounting,1169,MI
Trustees Fund,Lansing,College of Business,Endowment,2639,2013-02-25,Accounting,1169,MI
